Sucursal;Trimestre Entrega;Capital Entregado ;Cantidad Cuotas;Importe Cuota;Interes Mensual;Zona Residencia;Edad;Nacionalidad;Informa Celular;Informa Tel Particular;Informa Email;Informa Tel Alternativo;Informa Nombre Jefe;Puesto Laboral;Ingreso Formal;Sexo;Target
Once;I;9000;18;1346.2;0.09;Zona Sur;43;ARGENTINA;SI;SI;NO;NO;SI;LIMPIEZA Y SEGURIDAD;11456;M;Deudor
Once;I;13000;17;2032;0.1;Zona Sur;43;ARGENTINA;SI;SI;NO;NO;SI;LIMPIEZA Y SEGURIDAD;11456;M;Deudor
;IV;5000;18;765;0.1;Zona Sur;43;ARGENTINA;SI;SI;NO;NO;SI;LIMPIEZA Y SEGURIDAD;11456;M;Deudor
Once;I;10000;18;1495.7;0.09;Capital Federal;58;URUGUAY;SI;SI;NO;NO;SI;PORTERO;17000;F;Deudor
Once;I;10000;18;1495.7;0.09;Capital Federal;27;ARGENTINA;SI;SI;NO;NO;SI;OPERARIO;14582.1;F;Deudor
Once;I;10000;14;1654.4;0.09;Capital Federal;59;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;13316;F;Cumplidor
Once;I;10000;14;1654.4;0.09;Capital Federal;42;ARGENTINA;SI;SI;NO;NO;SI;OPERARIO;18880;M;Deudor
Once;I;12000;19;1759.8;0.09;Capital Federal;35;ARGENTINA;SI;NO ;NO;NO;SI;SALUD;14025.6;F;Deudor
Once;I;8000;9;1797.9;0.11;Capital Federal;31;ARGENTINA;SI;SI;NO;NO;SI;ADMINISTRACION;7761;F;Cumplidor
Once;I;10000;11;1909.7;0.1;Capital Federal;38;ARGENTINA;SI;SI;SI;SI;SI;COMERCIO;12076;M;Cumplidor
Once;I;5000;11;954.9;0.1;Zona Sur;49;ARGENTINA;SI;SI;SI;SI;SI;COMERCIO;8000;F;Deudor
Once;II;10000;18;1530;0.1;Zona Sur;49;ARGENTINA;SI;SI;SI;SI;SI;COMERCIO;8000;F;Deudor
Once;I;5000;11;978;0.1;Capital Federal;57;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;13160;M;Cumplidor
;I;5000;11;978;0.1;Capital Federal;57;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;13160;M;Cumplidor
Once;I;10000;17;1528.4;0.09;Capital Federal;57;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;13160;M;Cumplidor
Once;II;10000;18;1530;0.1;Capital Federal;57;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;13160;M;Cumplidor
;IV;5000;11;978;0.1;Capital Federal;57;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;13160;M;Cumplidor
Once;IV;11000;18;2091;0.13;Capital Federal;57;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;13160;M;Cumplidor
Once;I;5000;10;748;0.05;Capital Federal;58;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;9600;M;Cumplidor
Once;I;10000;14;1654.4;0.09;Zona Oeste;66;ARGENTINA;SI;NO ;NO;NO;SI;OPERARIO;13600;M;Cumplidor
Once;I;10000;14;1654.4;0.09;Capital Federal;61;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;9500;F;Cumplidor
Once;I;10000;14;1654.4;0.09;Capital Federal;60;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;15000;M;Cumplidor
Once;I;10000;14;1654.4;0.09;Capital Federal;50;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;11873;M;Cumplidor
Once;I;6000;9;1348.4;0.11;Capital Federal;33;PERU;SI;NO ;NO;SI;SI;SALUD;7842;F;Cumplidor
;I;7000;9;1614;0.12;Capital Federal;26;ARGENTINA;SI;NO ;NO;SI;SI;COMERCIO;8599.1;F;Cumplidor
Once;I;5000;9;1123.7;0.11;Capital Federal;26;ARGENTINA;SI;NO ;NO;SI;SI;COMERCIO;8599.1;F;Cumplidor
Once;IV;5000;11;978;0.1;Capital Federal;26;ARGENTINA;SI;NO ;NO;SI;SI;COMERCIO;8599.1;F;Cumplidor
Once;I;10000;18;1495.7;0.09;Capital Federal;61;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;14000;M;Deudor
;III;9259;9;1500;0.05;Capital Federal;61;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;14000;M;Deudor
Once;I;10000;14;1654.4;0.09;Zona Norte;31;ARGENTINA;SI;NO ;NO;NO;SI;ADMINISTRACION;4157;M;Cumplidor
Once;I;5000;11;954.9;0.1;Capital Federal;42;PERU;SI;NO ;NO;SI;SI;PORTERO;5651.5;M;Cumplidor
Once;II;5000;1;6076;0.22;Capital Federal;42;PERU;SI;NO ;NO;SI;SI;PORTERO;5651.5;M;Cumplidor
;II;10000;11;1956;0.1;Capital Federal;42;PERU;SI;NO ;NO;SI;SI;PORTERO;5651.5;M;Cumplidor
Once;I;10000;14;1654;0.09;Capital Federal;35;ARGENTINA;SI;NO ;NO;SI;SI;OPERARIO;10975;M;Cumplidor
Once;III;6000;18;918;0.1;Capital Federal;35;ARGENTINA;SI;NO ;NO;SI;SI;OPERARIO;10975;M;Cumplidor
Once;I;10000;14;1654;0.09;Capital Federal;35;ARGENTINA;SI;NO ;NO;SI;SI;PORTERO;9500;M;Deudor
Once;I;10000;14;1654;0.09;Zona Sur;65;ARGENTINA;SI;SI;SI;SI;SI;ADMINISTRACION;19453.7;F;Cumplidor
Once;I;12000;18;1795;0.09;Zona Sur;62;ARGENTINA;SI;NO ;NO;NO;SI;PORTERO;15000;M;Cumplidor
;II;10000;18;2478;0.19;Zona Sur;62;ARGENTINA;SI;NO ;NO;NO;SI;PORTERO;15000;M;Cumplidor
Once;I;5000;9;1124;0.11;Zona Oeste;36;ARGENTINA;SI;SI;NO;SI;SI;OPERARIO;14000;M;Cumplidor
Once;I;10000;18;1496.4;0.09;Capital Federal;58;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;8500;M;Cumplidor
Once;IV;15000;17;2344;0.1;Capital Federal;58;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;8500;M;Cumplidor
;I;28464;21;3000;0.06;Capital Federal;33;PARAGUAY;SI;NO ;NO;SI;SI;PORTERO;9233;F;Cumplidor
Once;I;10000;18;1496;0.09;Capital Federal;33;PARAGUAY;SI;NO ;NO;SI;SI;PORTERO;9233;F;Cumplidor
Once;I;5000;11;955;0.1;Zona Sur;40;ARGENTINA;SI;NO ;NO;SI;SI;COMERCIO;8051;M;Cumplidor
Once;I;5000;11;955;0.1;Zona Oeste;43;PARAGUAY;SI;SI;SI;SI;SI;PORTERO;6400;M;Cumplidor
Once;IV;5000;11;978;0.1;Zona Oeste;43;PARAGUAY;SI;SI;SI;SI;SI;PORTERO;6400;M;Cumplidor
Once;I;10000;14;1654;0.09;Capital Federal;68;ARGENTINA;SI;NO ;NO;SI;SI;PORTERO;16000;M;Cumplidor
Once;I;10000;14;1654;0.09;Zona Oeste;36;ARGENTINA;SI;SI;NO;SI;SI;OPERARIO;13000;M;Deudor
Once;I;20000;18;2991;0.09;Capital Federal;53;ARGENTINA;SI;NO ;NO;NO;SI;SALUD;23000;M;Cumplidor
Once;I;6000;11;1146;0.1;Zona Oeste;43;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;7995;M;Deudor
;III;14000;22;2001;0.1;Zona Oeste;43;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;7995;M;Deudor
;IV;20000;32;1500;0.04;Zona Oeste;43;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;7995;M;Deudor
Once;I;5000;9;1124;0.11;Zona Sur;59;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;3800;F;Deudor
Once;I;12089;14;2000;0.09;Capital Federal;60;ARGENTINA;SI;NO ;NO;NO;NO;;22000;F;Deudor
Once;II;1000;1;1500;0.5;Capital Federal;60;ARGENTINA;SI;NO ;NO;NO;NO;;22000;F;Deudor
Once;II;6000;4;1500;0;Capital Federal;60;ARGENTINA;SI;NO ;NO;NO;NO;;22000;F;Deudor
Once;II;16000;8;2000;0;Capital Federal;60;ARGENTINA;SI;NO ;NO;NO;NO;;22000;F;Deudor
Once;I;23000;24;3200;0.1;Capital Federal;26;ARGENTINA;SI;NO ;SI;SI;SI;SALUD;10500;M;Deudor
Once;II;15000;18;2244;0.09;Capital Federal;26;ARGENTINA;SI;NO ;SI;SI;SI;SALUD;10500;M;Deudor
Once;II;10000;14;1654;0.09;Capital Federal;25;ARGENTINA;SI;NO ;SI;SI;SI;COMERCIO;9754;M;Deudor
;I;20000;20;2949;0.1;Capital Federal;59;ARGENTINA;SI;SI;SI;SI;SI;ADMINISTRACION;22375;F;Deudor
Once;;10000;18;1496;0.09;Capital Federal;59;ARGENTINA;SI;SI;SI;SI;SI;ADMINISTRACION;22375;F;Deudor
Once;II;7000;18;1047;0.09;Capital Federal;30;COLOMBIA;SI;NO ;NO;NO;SI;SALUD;10432;F;Deudor
Once;II;8000;14;1409;0.1;Capital Federal;30;COLOMBIA;SI;NO ;NO;NO;SI;SALUD;10432;F;Deudor
;II;15000;21;2176;0.1;Capital Federal;30;COLOMBIA;SI;NO ;NO;NO;SI;SALUD;10432;F;Deudor
Once;II;10000;14;1654;0.09;Zona Oeste;44;BOLIVIA;SI;NO ;NO;SI;SI;ADMINISTRACION;10000;F;Cumplidor
Once;IV;3000;3;1689;0.23;Zona Oeste;44;BOLIVIA;SI;NO ;NO;SI;SI;ADMINISTRACION;10000;F;Cumplidor
Once;IV;20000;18;3060;0.1;Zona Oeste;44;BOLIVIA;SI;NO ;NO;SI;SI;ADMINISTRACION;10000;F;Cumplidor
Once;II;8000;11;1528;0.1;Capital Federal;48;PARAGUAY;NO;NO ;NO;NO;SI;COMERCIO;4899.5;F;Deudor
;III;10200;30;1000;0.06;Capital Federal;48;PARAGUAY;NO;NO ;NO;NO;SI;COMERCIO;4899.5;F;Deudor
Once;II;15000;18;2244;0.09;Zona Oeste;;ARGENTINA;SI;NO ;NO;SI;SI;ADMINISTRACION;12500;F;Cumplidor
Once;II;13000;18;1795.1;0.08;Capital Federal;52;ARGENTINA;SI;NO ;NO;NO;SI;PORTERO;9500;M;Deudor
Once;III;15000;17;2344;0.1;Capital Federal;52;ARGENTINA;SI;NO ;NO;NO;SI;PORTERO;9500;M;Deudor
Once;II;15000;23;2062;0.09;Capital Federal;;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;8000;F;Cumplidor
Once;I;15000;18;2295;0.1;Capital Federal;40;ARGENTINA;SI;SI;NO;SI;SI;COMERCIO;10300;F;Deudor
Once;II;10000;18;1496;0.09;Capital Federal;40;ARGENTINA;SI;SI;NO;SI;SI;COMERCIO;10300;F;Deudor
Once;II;12000;17;1834;0.09;Capital Federal;57;ARGENTINA;SI;NO ;NO;SI;SI;PORTERO;16000;M;Cumplidor
;II;15194;17;2153;0.08;Capital Federal;57;ARGENTINA;SI;NO ;NO;SI;SI;PORTERO;16000;M;Cumplidor
;I;7000;11;1369;0.1;Zona Oeste;49;ARGENTINA;SI;SI;NO;SI;SI;COMERCIO;13558;M;Cumplidor
Once;II;5000;11;955;0.1;Zona Oeste;49;ARGENTINA;SI;SI;NO;SI;SI;COMERCIO;13558;M;Cumplidor
Once;I;5000;11;978;0.1;Zona Oeste;49;ARGENTINA;SI;SI;NO;SI;SI;COMERCIO;13558;M;Cumplidor
Once;II;3000;3;1427;0.14;Zona Oeste;49;ARGENTINA;SI;SI;NO;SI;SI;COMERCIO;13558;M;Cumplidor
Once;II;7000;9;1573.1;0.11;Zona Oeste;67;ARGENTINA;SI;SI;NO;SI;NO;SALUD;31000;M;Cumplidor
;II;7000;9;1614;0.12;Zona Oeste;67;ARGENTINA;SI;SI;NO;SI;NO;SALUD;31000;M;Cumplidor
Once;II;10000;18;1496;0.09;Capital Federal;34;ARGENTINA;SI;NO ;NO;NO;SI;ADMINISTRACION;9000;F;Deudor
Once;II;10000;18;1496;0.09;Capital Federal;53;ARGENTINA;SI;SI;NO;NO;SI;ADMINISTRACION;7058;F;Cumplidor
Once;II;17000;18;2543;0.09;Capital Federal;55;ARGENTINA;SI;SI;NO;SI;SI;ADMINISTRACION;15775;F;Cumplidor
Once;III;10000;6;2682;0.1;Capital Federal;55;ARGENTINA;SI;SI;NO;SI;SI;ADMINISTRACION;15775;F;Cumplidor
Once;IV;23000;14;3885;0.1;Capital Federal;55;ARGENTINA;SI;SI;NO;SI;SI;ADMINISTRACION;15775;F;Cumplidor
Once;II;2000;14;370;0.11;Capital Federal;56;ARGENTINA;SI;SI;NO;NO;SI;ADMINISTRACION;15306;F;Cumplidor
Once;I;12000;17;1834;0.09;Capital Federal;31;BOLIVIA;SI;SI;NO;SI;SI;COMERCIO;11410;M;Deudor
Once;II;7000;18;1047;0.09;Zona Sur;47;ARGENTINA;SI;NO ;NO;SI;SI;LIMPIEZA Y SEGURIDAD;4700;F;Cumplidor
;I;30000;8;4375;0.02;Capital Federal;47;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;10000;F;Deudor
Once;II;12000;18;1795;0.09;Capital Federal;47;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;10000;F;Deudor
Once;II;12000;17;1834;0.09;Zona Sur;57;ARGENTINA;SI;SI;NO;SI;SI;COMERCIO;10500;F;Deudor
Once;III;10000;18;1530;0.1;Zona Sur;57;ARGENTINA;SI;SI;NO;SI;SI;COMERCIO;10500;F;Deudor
Once;II;5000;11;955;0.1;Capital Federal;60;ARGENTINA;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;7500;F;Cumplidor
Once;II;12000;17;1681.1;0.08;Capital Federal;53;ARGENTINA;SI;SI;NO;NO;SI;COMERCIO;11000;M;Deudor
;III;20000;24;1400;0.03;Capital Federal;53;ARGENTINA;SI;SI;NO;NO;SI;COMERCIO;11000;M;Deudor
Once;II;5000;9;1124;0.11;Capital Federal;46;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;20000;M;Cumplidor
Once;III;5000;9;1153;0.12;Capital Federal;46;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;20000;M;Cumplidor
;IV;6000;18;918;0.1;Capital Federal;46;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;20000;M;Cumplidor
Once;II;12000;17;1834;0.09;Capital Federal;53;ARGENTINA;SI;NO ;NO;NO;SI;SALUD;22000;F;Cumplidor
Once;II;5000;9;1124;0.11;Capital Federal;56;ARGENTINA;SI;NO ;NO;SI;SI;LIMPIEZA Y SEGURIDAD;5500;F;Cumplidor
Once;II;10000;14;1654;0.09;Capital Federal;32;ARGENTINA;SI;SI;NO;NO;SI;SALUD;13593;M;Cumplidor
Once;II;17000;18;2543;0.09;Capital Federal;54;URUGUAY;SI;SI;NO;SI;SI;PORTERO;21000;M;Deudor
Once;II;12000;18;1795;0.09;Capital Federal;50;ARGENTINA;SI;NO ;NO;NO;SI;SALUD;15000;F;Deudor
Once;II;15000;22;2092;0.09;Capital Federal;44;ARGENTINA;SI;SI;SI;SI;SI;PORTERO;16000;M;Cumplidor
Once;I;7000;17;1798;0.2;Capital Federal;36;ARGENTINA;SI;SI;NO;SI;SI;COMERCIO;19502;F;Deudor
;I;8000;15;1313;0.1;Capital Federal;36;ARGENTINA;SI;SI;NO;SI;SI;COMERCIO;19502;F;Deudor
Once;II;6000;11;1146;0.1;Capital Federal;36;ARGENTINA;SI;SI;NO;SI;SI;COMERCIO;19502;F;Deudor
;I;4000;11;1204;0.21;Capital Federal;67;ARGENTINA;SI;SI;NO;NO;SI;;710000;F;Cumplidor
Once;II;3000;9;942;0.2;Capital Federal;67;ARGENTINA;SI;SI;NO;NO;SI;;710000;F;Cumplidor
Once;III;2000;9;642;0.21;Capital Federal;67;ARGENTINA;SI;SI;NO;NO;SI;;710000;F;Cumplidor
Once;II;10000;14;1654;0.09;Capital Federal;51;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;11000;M;Deudor
Once;II;10000;14;1654;0.09;Capital Federal;68;PARAGUAY;SI;NO ;NO;NO;SI;ADMINISTRACION;19986;M;Cumplidor
Once;II;10000;14;1654;0.09;Capital Federal;43;ARGENTINA;SI;NO ;NO;NO;SI;PORTERO;5497;F;Cumplidor
Once;III;7000;11;1369;0.1;Capital Federal;43;ARGENTINA;SI;NO ;NO;NO;SI;PORTERO;5497;F;Cumplidor
Once;II;18000;18;2692;0.09;Capital Federal;56;ARGENTINA;SI;SI;SI;SI;SI;ADMINISTRACION;13000;M;Cumplidor
Once;II;5000;11;955;0.1;Zona Sur;40;PARAGUAY;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;7500;F;Cumplidor
Once;III;5000;11;978;0.1;Zona Sur;40;PARAGUAY;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;7500;F;Cumplidor
Once;II;10000;14;1654;0.09;Capital Federal;45;ARGENTINA;SI;SI;SI;SI;SI;COMERCIO;16000;M;Cumplidor
Once;II;8000;18;1197;0.09;Zona Sur;47;ARGENTINA;SI;NO ;NO;SI;SI;PORTERO;9693.8;M;Cumplidor
Once;II;5000;11;955;0.1;Zona Oeste;56;ARGENTINA;SI;NO ;NO;SI;SI;COMERCIO;10612;M;Cumplidor
Once;III;10000;6;2682;0.1;Zona Oeste;56;ARGENTINA;SI;NO ;NO;SI;SI;COMERCIO;10612;M;Cumplidor
Once;II;8000;15;1285;0.09;Capital Federal;38;ARGENTINA;SI;SI;NO;SI;NO;LIMPIEZA Y SEGURIDAD;12119;M;Cumplidor
Once;III;10000;14;1689;0.1;Capital Federal;38;ARGENTINA;SI;SI;NO;SI;NO;LIMPIEZA Y SEGURIDAD;12119;M;Cumplidor
Once;II;12000;18;1795;0.09;Zona Sur;52;ARGENTINA;SI;NO ;NO;NO;SI;ADMINISTRACION;16000;F;Cumplidor
Once;II;12000;18;1836;0.1;Capital Federal;49;ARGENTINA;SI;NO ;NO;SI;SI;PORTERO;13994;M;Cumplidor
Once;IV;20000;9;4819;0.13;Capital Federal;49;ARGENTINA;SI;NO ;NO;SI;SI;PORTERO;13994;M;Cumplidor
Once;II;7000;11;1369;0.1;Capital Federal;57;ARGENTINA;SI;SI;NO;NO;SI;COMERCIO;10347;F;Deudor
;III;22763;33;1500;0.04;Capital Federal;57;ARGENTINA;SI;SI;NO;NO;SI;COMERCIO;10347;F;Deudor
;III;22763;33;1500;0.04;Capital Federal;57;ARGENTINA;SI;SI;NO;NO;SI;COMERCIO;10347;F;Deudor
;IV;18000;18;2754;0.1;Capital Federal;57;ARGENTINA;SI;SI;NO;NO;SI;COMERCIO;10347;F;Deudor
Once;II;10000;14;1689;0.1;Capital Federal;35;ARGENTINA;SI;SI;SI;SI;SI;ADMINISTRACION;11400;F;Cumplidor
Once;II;15000;21;2031;0.09;Capital Federal;32;ARGENTINA;SI;SI;SI;SI;SI;COMERCIO;11200;M;Cumplidor
Once;II;5000;11;978;0.1;Zona Oeste;50;ARGENTINA;SI;SI;NO;SI;SI;ADMINISTRACION;22000;M;Cumplidor
;III;6000;18;918;0.1;Zona Oeste;50;ARGENTINA;SI;SI;NO;SI;SI;ADMINISTRACION;22000;M;Cumplidor
Once;II;10000;14;1689;0.1;Capital Federal;31;ARGENTINA;SI;SI;NO;NO;SI;ADMINISTRACION;10000;M;Cumplidor
Once;II;5000;11;978;0.1;Capital Federal;27;ARGENTINA;SI;SI;SI;NO;SI;COMERCIO;7800;F;Deudor
;II;9000;19;1398;0.1;Capital Federal;27;ARGENTINA;SI;SI;SI;NO;SI;COMERCIO;7800;F;Deudor
;IV;5000;11;978;0.1;Capital Federal;27;ARGENTINA;SI;SI;SI;NO;SI;COMERCIO;7800;F;Deudor
;I;10000;14;1689;0.1;Capital Federal;46;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;16549;M;Cumplidor
Once;II;8000;11;1565;0.1;Capital Federal;46;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;16549;M;Cumplidor
Once;II;6000;11;1174;0.1;Capital Federal;37;ARGENTINA;SI;SI;NO;NO;SI;COMERCIO;9200;M;Cumplidor
Once;III;7000;6;2120;0.14;Capital Federal;37;ARGENTINA;SI;SI;NO;NO;SI;COMERCIO;9200;M;Cumplidor
;IV;6000;18;918;0.1;Capital Federal;37;ARGENTINA;SI;SI;NO;NO;SI;COMERCIO;9200;M;Cumplidor
Once;II;10000;14;1689;0.1;Capital Federal;67;ARGENTINA;SI;NO ;NO;NO;SI;PORTERO;10242;M;Deudor
Once;II;5000;18;765;0.1;Zona Oeste;45;ARGENTINA;SI;NO ;SI;NO;SI;SALUD;9600;F;Deudor
;I;16000;18;2448;0.1;Capital Federal;35;ARGENTINA;SI;SI;SI;SI;SI;PORTERO;10575;M;Deudor
Once;I;32000;26;3792;0.08;Capital Federal;35;ARGENTINA;SI;SI;SI;SI;SI;PORTERO;10575;M;Deudor
Once;II;10000;14;1689;0.1;Capital Federal;35;ARGENTINA;SI;SI;SI;SI;SI;PORTERO;10575;M;Deudor
Once;II;5000;9;1153;0.12;Capital Federal;56;ARGENTINA;SI;NO ;NO;SI;SI;LIMPIEZA Y SEGURIDAD;6192;F;Deudor
;III;10000;18;1530;0.1;Capital Federal;56;ARGENTINA;SI;NO ;NO;SI;SI;LIMPIEZA Y SEGURIDAD;6192;F;Deudor
;IV;15000;23;2114;0.1;Capital Federal;56;ARGENTINA;SI;NO ;NO;SI;SI;LIMPIEZA Y SEGURIDAD;6192;F;Deudor
Once;II;5000;11;978;0.1;Zona Oeste;48;ARGENTINA;SI;SI;NO;NO;SI;OPERARIO;14000;F;Deudor
Once;II;17000;18;2601.1;0.1;Capital Federal;58;ARGENTINA;SI;NO ;NO;NO;SI;PORTERO;31405;M;Deudor
Once;II;5000;11;978;0.1;Capital Federal;40;ARGENTINA;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;9911;M;Cumplidor
Once;II;5500;11;1076;0.1;Capital Federal;72;ARGENTINA;SI;SI;SI;NO;SI;COMERCIO;11000;F;Cumplidor
Once;III;15000;15;2695;0.11;Capital Federal;72;ARGENTINA;SI;SI;SI;NO;SI;COMERCIO;11000;F;Cumplidor
;IV;14000;17;2188;0.1;Capital Federal;72;ARGENTINA;SI;SI;SI;NO;SI;COMERCIO;11000;F;Cumplidor
Once;II;5000;11;978;0.1;Zona Sur;26;ARGENTINA;SI;SI;NO;NO;SI;LIMPIEZA Y SEGURIDAD;8460;M;Deudor
Once;II;10000;14;1689;0.1;Capital Federal;35;ARGENTINA;SI;NO ;NO;SI;SI;PORTERO;8139;M;Cumplidor
Once;II;15000;16;2399.1;0.1;Zona Oeste;49;ARGENTINA;SI;SI;NO;SI;SI;COMERCIO;11736;M;Deudor
Once;II;10000;16;1600;0.1;Capital Federal;31;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;10035;M;Deudor
Once;III;10000;18;1530;0.1;Capital Federal;31;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;10035;M;Deudor
Once;I;22234;11;2993;0.04;Capital Federal;37;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;10000;M;Cumplidor
Once;II;5000;11;978;0.1;Capital Federal;37;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;10000;M;Cumplidor
Once;II;15000;15;2462;0.1;Capital Federal;37;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;10000;M;Cumplidor
Once;II;10000;14;1689;0.1;Capital Federal;33;ARGENTINA;SI;NO ;NO;SI;SI;PORTERO;14536;M;Deudor
;IV;25000;24;3478;0.1;Capital Federal;33;ARGENTINA;SI;NO ;NO;SI;SI;PORTERO;14536;M;Deudor
Once;II;6000;11;1174;0.1;Capital Federal;45;ARGENTINA;SI;NO ;NO;NO;SI;PORTERO;10800;M;Deudor
Once;II;10000;14;1689;0.1;Capital Federal;45;PARAGUAY;SI;SI;NO;SI;SI;PORTERO;9500;F;Cumplidor
Once;II;10000;11;1956;0.1;Zona Sur;47;ARGENTINA;SI;SI;NO;SI;SI;OPERARIO;16500;M;Cumplidor
Once;II;20000;18;3060;0.1;Zona Sur;47;ARGENTINA;SI;SI;NO;SI;SI;OPERARIO;16500;M;Cumplidor
Once;II;7000;9;1614.1;0.12;Capital Federal;54;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;12414;M;Deudor
Once;II;6000;11;1174;0.1;Capital Federal;52;ARGENTINA;SI;SI;NO;NO;SI;ADMINISTRACION;39000;M;Deudor
;I;20000;18;3060;0.1;Capital Federal;45;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;1800000;M;Deudor
Once;II;10000;14;1689;0.1;Capital Federal;45;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;1800000;M;Deudor
Once;II;15000;17;2344.1;0.1;Capital Federal;32;ARGENTINA;SI;SI;NO;SI;SI;ADMINISTRACION;17194;F;Deudor
Once;III;20000;26;2719;0.1;Capital Federal;32;ARGENTINA;SI;SI;NO;SI;SI;ADMINISTRACION;17194;F;Deudor
Once;II;6000;3;3604;0.27;Capital Federal;37;PARAGUAY;SI;SI;NO;NO;SI;PORTERO;21000;M;Cumplidor
;III;17000;11;3326;0.1;Capital Federal;37;PARAGUAY;SI;SI;NO;NO;SI;PORTERO;21000;M;Cumplidor
Once;II;8000;11;1565;0.1;Capital Federal;28;ARGENTINA;SI;SI;NO;SI;SI;SALUD;8000;M;Cumplidor
Once;II;10000;14;1689;0.1;Capital Federal;45;ARGENTINA;SI;SI;NO;NO;SI;OPERARIO;13600;F;Cumplidor
Once;II;10000;18;1530;0.1;Capital Federal;55;ARGENTINA;SI;NO ;NO;NO;SI;PORTERO;8630;F;Deudor
Once;II;15000;18;2295.1;0.1;Capital Federal;46;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;14725;M;Deudor
Once;II;7000;18;1071;0.1;Capital Federal;43;ARGENTINA;SI;SI;NO;NO;SI;OPERARIO;13700;M;Cumplidor
Once;II;15000;15;2462;0.1;Capital Federal;51;URUGUAY;SI;SI;NO;NO;SI;PORTERO;19031;M;Cumplidor
Once;II;10000;14;1689;0.1;Capital Federal;72;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;17613;M;Cumplidor
Once;II;15000;14;2533.1;0.1;Capital Federal;66;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;18382;F;Cumplidor
Once;II;10000;14;1689;0.1;Capital Federal;58;ARGENTINA;SI;SI;NO;NO;SI;LIMPIEZA Y SEGURIDAD;19000;M;Deudor
Once;II;10000;19;1501;0.1;Capital Federal;54;ARGENTINA;SI;NO ;NO;NO;SI;PORTERO;9281;M;Cumplidor
Once;II;7000;11;1369;0.1;Zona Oeste;56;ARGENTINA;SI;NO ;NO;NO;SI;SALUD;8457.8;F;Cumplidor
;I;8000;18;1224;0.1;Capital Federal;62;BRASIL;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;13382;M;Cumplidor
Once;II;1000;3;550;0.22;Capital Federal;62;BRASIL;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;13382;M;Cumplidor
Once;III;5000;9;1153;0.12;Capital Federal;62;BRASIL;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;13382;M;Cumplidor
Once;II;2000;1;2650;0.33;Capital Federal;62;ARGENTINA;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;6867.8;M;Cumplidor
Once;III;3000;2;2000.1;0.17;Capital Federal;62;ARGENTINA;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;6867.8;M;Cumplidor
